Label,txcount,mint_count,swap_count,burn_count,mint_ratio,swap_ratio,burn_ratio,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,swap_rate,LP_avg,LP_stdev,LPCreator_holding_ratio,Lock_ratio,Creator_token_holding_ratio,number_of_token_creation_of_Creator
True,24,1.0,23.0,0.0,0.041666667,0.958333333,0,0.0,0.553316541,0.0,22.0,1.0,11.0,100.0,0.0,1,0,1.1,146
True,26,1.0,25.0,0.0,0.038461538,0.961538462,0,0.0,0.169353551,0.0,22.0,3.0,5.5,100.0,0.0,1,0,1.09,146
True,34,1.0,33.0,0.0,0.029411765,0.970588235,0,0.0,0.452498627,0.0,32.0,1.0,16.0,100.0,0.0,1,0,1.08,146
True,1406,26.0,1379.0,1.0,0.018492176,0.980796586,0.000047307392235292259718808238755372030936996452510356903076171875,0.47694584,0.214155321,0.085476696,758.0,621.0,1.218649518,5.263157895,11.30240209,0.05721744836008669671719505090,0.4611379286381615800687823159,1.026944685783082385721564398,1
True,7,1.0,6.0,0.0,0.142857143,0.857142857,0.0278583664199276472006605587239391752518713474273681640625,0.0,0.224682188,0.0,2.0,4.0,0.4,100.0,0.0,0.9999999986953438910674056196,1.304656108932594380353349760E-9,1.024701749879905738636579109,1
True,10,1.0,9.0,0.0,0.1,0.9,0,0.0,0.121947335,0.0,8.0,1.0,4.0,100.0,0.0,1.000000034365915674278478393,-3.436591567427847839296064701E-8,1.019304534978320477490225763,1
True,4,2.0,2.0,0.0,0.5,0.5,0,0.155507559,0.572894168,0.0,2.0,0.0,2.0,50.0,49.59128064,1.006711409395973103690571007,-0.01006711409395960002037915805,1.017536396100841390699911507,1
True,306,3.0,303.0,0.0,0.009803922,0.990196078,0,0.000320222,0.036627719,0.0,186.0,117.0,1.576271186,50.0,49.95548564,0.9995557372096742075572122138,-8.885255805691228647443041677E-7,1.008248410499999998137354851,1
True,13,1.0,12.0,0.0,0.076923077,0.923076923,0.5,0.0,0.169404762,0.0,5.0,7.0,0.625,100.0,0.0,1,0,1.01,1
True,7,1.0,6.0,0.0,0.142857143,0.857142857,4.334203655352480468697983569288656457985098313656635582447052001953125E-8,0.0,0.618872549,0.0,5.0,1.0,2.5,100.0,0.0,0E+40,0.9999999999999999999999999999,1,1
True,3,1.0,2.0,0.0,0.333333333,0.666666667,4.999999999999999595608784097607424260283877425408039339794067349473352563143833951421653172264569775506970472633838653564453125E-33,0.0,0.739082969,0.0,2.0,0.0,2.0,100.0,0.0,0E+33,1.000000000000000000000000000,1,1
True,58,1.0,56.0,1.0,0.017241379,0.965517241,5.000000000000000192474348745959195406859946807956691506980638217501789095920106120729542453773319721221923828125E-28,0.0,0.05322965,0.818365046,55.0,1.0,27.5,100.0,0.0,0,1,1,1
True,38,1.0,36.0,1.0,0.026315789,0.947368421,0,0.0,0.0847711,0.380620572,33.0,3.0,8.25,100.0,0.0,0E+31,0.9999999999999999999999999997,1,1
True,37,1.0,36.0,0.0,0.027027027,0.972972973,0,0.0,0.111184138,0.0,36.0,0.0,36.0,100.0,0.0,1,0,1,1
True,48,1.0,47.0,0.0,0.020833333,0.979166667,0,0.0,0.268153957,0.0,47.0,0.0,47.0,100.0,0.0,0E+29,1.000000000000000000000000000,1,1
True,6,1.0,5.0,0.0,0.166666667,0.833333333,4.9999999999000008195096300511778525671504553568177576247649671391685838012031446712341389328193574925762732164002954959869384765625E-35,0.0,0.798842258,0.0,5.0,0.0,5.0,100.0,0.0,0E+31,1.000000000000000000000000000,1,1
True,4,1.0,3.0,0.0,0.25,0.75,4.99999999999999976495060788987686311567620517928343391074506240361067246400080337636635405139323915613364315919573376001405762281137867830693721771240234375E-45,0.0,0.339520634,0.0,2.0,1.0,1.0,100.0,0.0,0E+33,1.000000000000000000000000000,1,1
True,24,1.0,23.0,0.0,0.041666667,0.958333333,5.05999999999999947580582485513356300219509157526200316778760873810909839195455229600428825875724214711226522922515869140625E-31,0.0,0.393206678,0.0,15.0,8.0,1.666666667,100.0,0.0,0E+31,1.000000000000000000000000000,1,1
True,35,1.0,34.0,0.0,0.028571429,0.971428571,0,0.0,0.413773952,0.0,25.0,9.0,2.5,100.0,0.0,0E+31,1.000000000000000000000000000,1,1
True,6,1.0,5.0,0.0,0.166666667,0.833333333,0,0.0,0.341900412,0.0,5.0,0.0,5.0,100.0,0.0,0E+31,1.000000000000000000000000000,1,1
True,12,1.0,11.0,0.0,0.083333333,0.916666667,4.0000000000000004294859674707409910056605833578291839443342504424594441303497660555876791477203369140625E-24,0.0,0.256298201,0.0,11.0,0.0,11.0,100.0,0.0,0E+33,1.000000000000000000000000000,1,1
True,20,1.0,19.0,0.0,0.05,0.95,5.0600000000000003669755962271442274268501573643170660167829932938980685985796981185558252036571502685546875E-24,0.0,0.33072407,0.0,15.0,4.0,3.0,100.0,0.0,0E+29,1.000000000000000000000000000,1,1
True,19,1.0,18.0,0.0,0.052631579,0.947368421,0,0.0,0.345909191,0.0,11.0,7.0,1.375,100.0,0.0,0E+37,1.000000000000000000000000000,1,3
True,19,1.0,18.0,0.0,0.052631579,0.947368421,0,0.0,0.345909191,0.0,11.0,7.0,1.375,100.0,0.0,0E+37,1.000000000000000000000000000,1,3
True,19,1.0,18.0,0.0,0.052631579,0.947368421,0,0.0,0.345909191,0.0,11.0,7.0,1.375,100.0,0.0,0E+37,1.000000000000000000000000000,1,3
True,36,1.0,35.0,0.0,0.027777778,0.972222222,5.000000000000000536857459338426238757075729197286479930417813053074305162937207569484598934650421142578125E-25,0.0,0.122942989,0.0,32.0,3.0,8.0,100.0,0.0,0E+33,1.000000000000000000000000000,1,1
True,27,1.0,25.0,1.0,0.037037037,0.925925926,9.999999999999999988193093545598986971343290729163921781719182035885751247406005859375E-15,0.0,0.066657279,1.0,25.0,0.0,25.0,100.0,0.0,0,1,1,1
True,20,1.0,19.0,0.0,0.05,0.95,4.99999999999999953768726113948185698364967255837765378455208979679991188049825723282992839813232421875E-22,0.0,0.123367349,0.0,19.0,0.0,19.0,100.0,0.0,0E+33,1.000000000000000000000000000,1,1
