Label,txcount,mint_count,swap_count,burn_count,mint_ratio,swap_ratio,burn_ratio,mint_mean_period,swap_mean_period,burn_mean_period,swapIn,swapOut,swap_rate,LP_avg,LP_stdev,LPCreator_holding_ratio,Lock_ratio,Creator_token_holding_ratio,number_of_token_creation_of_Creator
True,9,1,8,0,0.111111111,0.888888889,0.0,0.0,0.167845425,0.0,8,0,8.0,100.0,0.0,1.0,0.0,1.0,1
True,154,1,153,0,0.006493506,0.993506494,5e-08,0.0,0.17586654,0.0,148,5,24.66666667,100.0,0.0,0.0,1.0,1.0,1
True,7,1,6,0,0.142857143,0.857142857,5e-14,0.0,0.731170336,0.0,6,0,6.0,100.0,0.0,0.0,1.0,1.0,1
True,27,1,26,0,0.037037037,0.962962963,4e-10,0.0,0.126408415,0.0,25,1,12.5,100.0,0.0,0.0,1.0,1.0,1
True,37,1,35,1,0.027027027,0.945945946,2.706027060270603e-07,0.0,0.044850775,0.994732046,28,7,3.5,100.0,0.0,0.0,1.0,1.0,1
True,8,1,7,0,0.125,0.875,4.9999999e-07,0.0,0.258974653,0.0,7,0,7.0,100.0,0.0,0.0,1.0,1.0,1
True,146,1,145,0,0.006849315,0.993150685,0.0,0.0,0.221567051,0.0,121,24,4.84,100.0,0.0,0.0,1.0,1.0,1
True,62,1,61,0,0.016129032,0.983870968,5.000000000000001e-13,0.0,0.232665029,0.0,61,0,61.0,100.0,0.0,0.0,1.0,1.0,1
True,23,1,22,0,0.043478261,0.956521739,0.0,0.0,0.20392884,0.0,22,0,22.0,100.0,0.0,0.0,1.0,1.0,1
True,86,1,85,0,0.011627907,0.988372093,0.0,0.0,0.217060947,0.0,72,13,5.142857143,100.0,0.0,0.0,1.0,1.0,1
True,9,1,8,0,0.111111111,0.888888889,4.530900368243243e-12,0.0,0.412847348,0.0,6,2,2.0,100.0,0.0,0.0,1.0,1.0,1
True,41,1,40,0,0.024390244,0.975609756,5.0100036e-10,0.0,0.132043439,0.0,37,3,9.25,100.0,0.0,0.0,1.0,1.0,1
True,10,1,9,0,0.1,0.9,0.0,0.0,0.341076503,0.0,7,2,2.333333333,100.0,0.0,1.0,0.0,1.0,1
True,11,1,9,1,0.090909091,0.818181818,5e-11,0.0,0.017716474,1.0,9,0,9.0,100.0,0.0,0.0,1.0,1.0,1
True,19,1,18,0,0.052631579,0.947368421,5e-08,0.0,0.144346827,0.0,17,1,8.5,100.0,0.0,0.0,1.0,1.0,1
True,6,1,5,0,0.166666667,0.833333333,0.0,0.0,0.428571429,0.0,2,3,0.5,100.0,0.0,1.0,0.0,1.0,2
True,42,1,40,1,0.023809524,0.952380952,5.050505050505051e-06,0.0,0.003714818,1.0,38,2,12.66666667,100.0,0.0,0.0,1.0,1.0,1
True,61,1,60,0,0.016393443,0.983606557,0.0,0.0,0.159415205,0.0,48,12,3.692307692,100.0,0.0,0.0,1.0,1.0,1
True,143,1,142,0,0.006993007,0.993006993,5.08e-06,0.0,0.51557309,0.0,76,66,1.134328358,100.0,0.0,0.0,1.0,1.0,1
True,36,1,35,0,0.027777778,0.972222222,5e-09,0.0,0.082405526,0.0,35,0,35.0,100.0,0.0,0.0,1.0,1.0,2
True,70,1,69,0,0.014285714,0.985714286,4.5454545454545455e-06,0.0,0.089662485,0.0,61,8,6.777777778,100.0,0.0,0.0,1.0,1.0,1
True,14,1,13,0,0.071428571,0.928571429,0.0,0.0,0.214770841,0.0,9,4,1.8,100.0,0.0,0.0,1.0,1.0,1
True,6,1,5,0,0.166666667,0.833333333,6.557377049180328e-05,0.0,0.244662005,0.0,4,1,2.0,100.0,0.0,0.0,1.0,1.0,1
True,9,1,8,0,0.111111111,0.888888889,0.0,0.0,0.142026655,0.0,7,1,3.5,100.0,0.0,1.0,0.0,1.0,1
True,12,1,11,0,0.083333333,0.916666667,4e-08,0.0,0.222066255,0.0,9,2,3.0,100.0,0.0,0.0,1.0,1.0,1
True,20,1,19,0,0.05,0.95,5e-06,0.0,0.337746721,0.0,19,0,19.0,100.0,0.0,0.0,1.0,1.0,1
True,15,1,14,0,0.066666667,0.933333333,0.0,0.0,0.157682827,0.0,12,2,4.0,100.0,0.0,0.0,1.0,1.0,1
True,56,2,53,1,0.035714286,0.946428571,0.0,0.493701235,0.123893418,0.047414224,50,3,12.5,100.0,0.0,0.0,1.0,1.0,1
True,26,1,25,0,0.038461538,0.961538462,3.5526315789473685e-08,0.0,0.292835177,0.0,18,7,2.25,100.0,0.0,0.0,1.0,1.0,1
True,189,1,188,0,0.005291005,0.994708995,0.0,0.0,0.108298723,0.0,92,96,0.948453608,100.0,0.0,1.0,0.0,1.0,3
True,12,1,11,0,0.083333333,0.916666667,0.0001,0.0,0.181692669,0.0,9,2,3.0,100.0,0.0,0.0,1.0,1.0,1
True,8,1,7,0,0.125,0.875,4e-11,0.0,0.200515627,0.0,7,0,7.0,100.0,0.0,0.0,1.0,1.0,1
True,191,1,190,0,0.005235602,0.994764398,0.000333,0.0,0.182949964,0.0,156,34,4.457142857,100.0,0.0,0.0,1.0,1.0,1
True,87,1,86,0,0.011494253,0.988505747,5.05050505050505e-07,0.0,0.090458686,0.0,67,19,3.35,100.0,0.0,0.0,1.0,1.0,1
True,19,1,18,0,0.052631579,0.947368421,0.0,0.0,0.093487157,0.0,17,1,8.5,100.0,0.0,0.0,1.0,1.0,1
True,6,1,5,0,0.166666667,0.833333333,0.0,0.0,0.213907785,0.0,1,4,0.2,100.0,0.0,1.0,0.0,1.0,1
True,61,1,60,0,0.016393443,0.983606557,3.33e-07,0.0,0.126258421,0.0,49,11,4.083333333,100.0,0.0,0.0,1.0,1.0,1
True,45,1,44,0,0.022222222,0.977777778,5.05050505050505e-07,0.0,0.205053334,0.0,40,4,8.0,100.0,0.0,0.0,1.0,1.0,1
True,48,1,47,0,0.020833333,0.979166667,5.050505050505051e-06,0.0,0.063488487,0.0,42,5,7.0,100.0,0.0,0.0,1.0,1.0,1
True,22,1,21,0,0.045454545,0.954545455,0.0,0.0,0.400558269,0.0,15,6,2.142857143,100.0,0.0,0.0,1.0,1.0,1
True,24,1,23,0,0.041666667,0.958333333,5e-12,0.0,0.140592695,0.0,17,6,2.428571429,100.0,0.0,0.0,1.0,1.0,1
True,40,1,39,0,0.025,0.975,5e-14,0.0,0.105458496,0.0,34,5,5.666666667,100.0,0.0,0.0,1.0,1.0,1
True,6,1,5,0,0.166666667,0.833333333,4.9999999999999996e-26,0.0,0.334727219,0.0,4,1,2.0,100.0,0.0,0.0,1.0,1.0,1
True,16,1,15,0,0.0625,0.9375,0.0,0.0,0.149824032,0.0,15,0,15.0,100.0,0.0,1.0,0.0,1.0,1
True,13,1,12,0,0.076923077,0.923076923,0.0,0.0,0.104719821,0.0,8,4,1.6,100.0,0.0,1.0,0.0,1.0,1
True,25,1,24,0,0.04,0.96,5e-18,0.0,0.073469254,0.0,18,6,2.571428571,100.0,0.0,0.0,1.0,1.0,1
True,31,1,30,0,0.032258065,0.967741935,5.050505050505051e-06,0.0,0.066252066,0.0,22,8,2.444444444,100.0,0.0,0.0,1.0,1.0,1
True,17,1,16,0,0.058823529,0.941176471,5e-27,0.0,0.099687589,0.0,12,4,2.4,100.0,0.0,0.0,1.0,1.0,1
True,29,1,28,0,0.034482759,0.965517241,5.050505050404041e-07,0.0,0.209017617,0.0,22,6,3.142857143,100.0,0.0,0.0,1.0,1.0,1
True,23,1,22,0,0.043478261,0.956521739,4.9999999999e-10,0.0,0.137555183,0.0,17,5,2.833333333,100.0,0.0,0.0,1.0,1.0,1
True,19,1,18,0,0.052631579,0.947368421,0.0,0.0,0.064856093,0.0,13,5,2.166666667,100.0,0.0,1.0,0.0,1.0,1
True,29,1,28,0,0.034482759,0.965517241,5.050505050505051e-10,0.0,0.189227732,0.0,27,1,13.5,100.0,0.0,0.0,1.0,1.0,1
True,23,1,22,0,0.043478261,0.956521739,0.0,0.0,0.098029676,0.0,15,7,1.875,100.0,0.0,0.0,1.0,1.0,1
True,39,1,38,0,0.025641026,0.974358974,9.595959595959595e-06,0.0,0.121457624,0.0,32,6,4.571428571,100.0,0.0,0.0,1.0,1.0,1
True,7,1,6,0,0.142857143,0.857142857,4.999999999999999e-17,0.0,0.317254174,0.0,3,3,0.75,100.0,0.0,0.0,1.0,1.0,1
True,62,1,61,0,0.016129032,0.983870968,6.324786324786325e-26,0.0,0.076726034,0.0,56,5,9.333333333,100.0,0.0,1.0,0.0,1.0,1
True,71,1,70,0,0.014084507,0.985915493,0.0,0.0,0.133766653,0.0,53,17,2.944444444,100.0,0.0,1.0,0.0,1.0,1
True,37,1,36,0,0.027027027,0.972972973,0.0,0.0,0.174409749,0.0,30,6,4.285714286,100.0,0.0,1.0,0.0,1.0,56
True,5,1,4,0,0.2,0.8,0.0,0.0,0.327056492,0.0,4,0,4.0,100.0,0.0,1.0,0.0,1.0,56
True,20,1,19,0,0.05,0.95,0.0,0.0,0.364311068,0.0,16,3,4.0,100.0,0.0,1.0,0.0,1.0,56
True,63,1,61,1,0.015873016,0.968253968,0.0,0.0,0.079369442,0.209240582,45,16,2.647058824,100.0,0.0,0.0,1.0,1.0,1
True,20,1,19,0,0.05,0.95,0.0,0.0,0.224581223,0.0,18,1,9.0,100.0,0.0,1.0,0.0,1.0,56
True,15,1,14,0,0.066666667,0.933333333,0.0,0.0,0.344717523,0.0,11,3,2.75,100.0,0.0,1.0,0.0,1.0,56
True,26,1,25,0,0.038461538,0.961538462,0.0,0.0,0.323713181,0.0,22,3,5.5,100.0,0.0,1.0,0.0,1.0,10
True,17,1,16,0,0.058823529,0.941176471,0.0,0.0,0.302023121,0.0,16,0,16.0,100.0,0.0,1.0,0.0,1.0,10
True,12,1,11,0,0.083333333,0.916666667,0.0,0.0,0.305756085,0.0,11,0,11.0,100.0,0.0,1.0,0.0,1.0,56
True,30,1,29,0,0.033333333,0.966666667,0.0,0.0,0.149243697,0.0,21,8,2.333333333,100.0,0.0,0.0,1.0,1.0,1
True,83,1,82,0,0.012048193,0.987951807,0.0,0.0,0.257122049,0.0,66,16,3.882352941,100.0,0.0,0.0,1.0,1.0,1
True,44,1,43,0,0.022727273,0.977272727,0.0,0.0,0.228118973,0.0,43,0,43.0,100.0,0.0,0.0,1.0,1.0,1
True,23,1,22,0,0.043478261,0.956521739,0.0,0.0,0.130189317,0.0,10,12,0.769230769,100.0,0.0,0.0,1.0,1.0,1
True,140,7,131,2,0.05,0.935714286,0.0,0.024850264,0.577389593,0.340000215,78,53,1.444444444,100.0,0.0,1.0,0.0,1.0,1
True,11,4,6,1,0.363636364,0.545454545,,0.053423689,0.783436578,0.976032096,4,2,1.333333333,100.0,0.0,1.0,0.0,,1
True,8,1,7,0,0.125,0.875,0.334,0.0,0.299394398,0.0,3,4,0.6,100.0,0.0,1.0,0.0,1.0,1
True,20,1,19,0,0.05,0.95,0.0,0.0,0.127757446,0.0,16,3,4.0,100.0,0.0,1.0,0.0,1.0,1
True,39,1,37,1,0.025641026,0.948717949,5.05050505050505e-07,0.0,0.111877961,0.753446372,34,3,8.5,100.0,0.0,0.0,1.0,1.0,1
True,23,1,21,1,0.043478261,0.913043478,0.0,0.0,0.04839384,0.026757297,16,5,2.666666667,100.0,0.0,0.9900003532882256,0.009999646711774479,1.0,1
True,5,1,4,0,0.2,0.8,0.0,0.0,0.636591479,0.0,4,0,4.0,100.0,0.0,0.9999999991252267,8.747732075113754e-10,0.99999989,1
True,5,1,4,0,0.2,0.8,0.0,0.0,0.397681016,0.0,2,2,0.666666667,100.0,0.0,0.0,1.0,0.9999996111112623,1
True,9,2,6,1,0.222222222,0.666666667,0.0,0.041389893,0.216134125,0.269646061,4,2,1.333333333,100.0,0.0,0.9999919763140792,8.023685920747168e-06,0.9999993438999999,1
True,9,1,8,0,0.111111111,0.888888889,0.0,0.0,0.375228349,0.0,6,2,2.0,100.0,0.0,1.0,0.0,0.9999989,1
True,4,1,3,0,0.25,0.75,0.0,0.0,0.767102229,0.0,2,1,1.0,100.0,0.0,1.0000000002309402,-2.309401267797708e-10,0.9999988888888889,2
True,8,2,6,0,0.25,0.75,0.0,0.499978529,0.046034268,0.0,3,3,0.75,100.0,0.0,1.0,0.0,0.9999975,1
True,26,2,24,0,0.076923077,0.923076923,0.0,0.255052666,0.402297458,0.0,18,6,2.571428571,100.0,0.0,1.0,0.0,0.9999973115999999,1
True,24,1,23,0,0.041666667,0.958333333,0.0,0.0,0.493715735,0.0,18,5,3.0,100.0,0.0,1.0,0.0,0.999997,1
True,6,1,5,0,0.166666667,0.833333333,0.0,0.0,0.454545455,0.0,3,2,1.0,100.0,0.0,1.0,0.0,0.9999961969111969,1
True,130,10,113,7,0.076923077,0.869230769,0.0,0.298765553,0.559236094,0.531255102,72,41,1.714285714,100.0,0.0,1.0,0.0,1.0,2
True,13,3,10,0,0.230769231,0.769230769,0.0,0.10826148,0.481226412,0.0,6,4,1.2,100.0,0.0,1.0,0.0,1.0,1
True,13,2,11,0,0.153846154,0.846153846,0.0,0.5,0.440625,0.0,6,5,1.0,100.0,0.0,1.0,0.0,0.9999922437777777,2
True,12,2,10,0,0.166666667,0.833333333,0.0,0.019671893,0.448422886,0.0,5,5,0.833333333,100.0,0.0,0.9999999994656203,5.343796040905768e-10,0.9999910234999999,1
True,56,1,55,0,0.017857143,0.982142857,0.0,0.0,0.448698078,0.0,44,11,3.666666667,100.0,0.0,0.0,1.0,0.999990036499635,1
True,11,1,10,0,0.090909091,0.909090909,0.0,0.0,0.106950797,0.0,4,6,0.571428571,100.0,0.0,1.0,0.0,0.99999,1
True,5,1,4,0,0.2,0.8,0.0,0.0,0.514150943,0.0,2,2,0.666666667,100.0,0.0,0.9999999941226162,5.877383748412359e-09,0.9999899499999999,1
True,38,1,37,0,0.026315789,0.973684211,5e-06,0.0,0.072075398,0.0,31,6,4.428571429,100.0,0.0,0.0,1.0,1.0,1
True,12,4,7,1,0.333333333,0.583333333,0.0,0.025766472,0.286012134,0.915202541,3,4,0.6,100.0,0.0,1.0,0.0,0.999987356,1
True,7,2,5,0,0.285714286,0.714285714,0.0,0.012618338,0.253360294,0.0,2,3,0.5,100.0,0.0,1.0,0.0,0.9999830720999999,1
True,148,1,146,1,0.006756757,0.986486486,5.022624377899999e-17,0.0,0.039183312,1.0,136,10,12.36363636,100.0,0.0,0.0,1.0,1.0,1
True,6,1,5,0,0.166666667,0.833333333,0.0,0.0,0.403444662,0.0,3,2,1.0,100.0,0.0,1.0,0.0,0.9999785714285714,1
True,19,1,18,0,0.052631579,0.947368421,0.0,0.0,0.211197141,0.0,12,6,1.714285714,100.0,0.0,0.0,1.0,0.9999782577668689,1
True,116,2,114,0,0.017241379,0.982758621,0.0,0.203614902,0.267613427,0.0,81,33,2.382352941,100.0,0.0,1.0,0.0,0.9999749806428572,1
True,29,1,28,0,0.034482759,0.965517241,8.046126119e-06,0.0,0.595788435,0.0,1,27,0.035714286,100.0,0.0,0.0,1.0,1.0,1
True,7,2,5,0,0.285714286,0.714285714,0.0,0.362353504,0.347285338,0.0,4,1,2.0,100.0,0.0,0.9999901042517082,9.89574829176815e-06,0.9999693551153908,2
True,74,3,69,2,0.040540541,0.932432432,0.0,0.049499711,0.088299016,0.0878194,33,36,0.891891892,100.0,0.0,1.0,0.0,0.999968,1
