id,Label,mint_count_per_week,burn_count_per_week,mint_ratio,swap_ratio,burn_ratio,mint_mean_period,swap_mean_period,burn_mean_period,swapIn_per_week,swapOut_per_week,swap_rate,LP_avg,LP_stdev,LPCreator_holding_ratio,Lock_ratio,token_burn_ratio,Creator_token_holding_ratio,number_of_token_creation_of_Creator
0x0ee4242bae860d0f1c8cb988748efa9ba9429988,True,0.997789289603062,0.0,0.166666667,0.833333333,0.0,0.0,0.725373134,0.0,3.991157158412248,0.997789289603062,2.0,100.0,0.0,0.9958591954545455,0.0,0.0,0.3914,31
0x928b644caf1270773e03af590f50af0de07fea68,True,0.9892568796534984,0.0,0.071428571,0.928571429,0.0,0.0,0.213459196,0.0,11.871082555841982,0.9892568796534984,6.0,100.0,0.0,0.9958591954545455,0.0,0.0,0.23653424525,1
0xbb32a030dfdae3d1bae7348c28997280a9f44c82,True,0.9473075820631819,0.0,0.0625,0.9375,0.0,0.0,0.199875152,0.0,12.314998566821366,1.8946151641263638,4.333333333,100.0,0.0,0.9958591954545455,0.0,0.0,0.161209959,12
0x6bd8bd44d2a11523cefd0d0604d4c5f1da159a8b,True,0.9984745527666066,0.0,0.03030303,0.96969697,0.0,0.0,0.538961039,0.0,25.96033837193177,5.990847316599639,3.714285714,100.0,0.0,0.9958591954545455,0.0,0.0,0.2982565822,2
0x2e0125602db1f8f2ba55371882b2decb6ba92b60,True,0.8251811223445623,0.0,0.03125,0.96875,0.0,0.0,0.348091782,0.0,20.629528058614056,4.951086734067373,3.571428571,100.0,0.0,0.9958591954545455,0.0,0.0,0.6,1
0x29793a08510559fa150b06b147c3efad92d02934,True,0.9956243888466362,0.0,0.0625,0.9375,0.0,0.0,0.344243792,0.0,13.938741443852907,0.9956243888466362,7.0,100.0,0.0,0.9958591954545455,0.0,0.0,0.41975833333333334,8
0xb7b97e7f1e1f2c2173c4c7bc8cceff998df99f2d,True,0.996452773114228,0.0,0.038461538,0.961538462,0.0,0.0,0.46028797,0.0,20.925508235398787,3.985811092456912,4.2,100.0,0.0,0.9958591954545455,0.0,0.0,0.43840827790000003,1
0xcb5c8e24202b4bb98ebc37e94a4c884107e84e21,True,0.99280022850164,0.0,0.05,0.95,0.0,0.0,0.314637483,0.0,14.8920034275246,3.97120091400656,3.0,100.0,0.0,0.9958591954545455,0.0,0.0,0.7,1
0x666d8892d294927640795cd56f847017b83bace6,True,0.9579244969233327,0.0,0.076923077,0.923076923,0.0,0.0,0.528289102,0.0,11.495093963079992,0.0,12.0,100.0,0.0,0.9958591954545455,0.0,0.0,0.2422875,31
0xf95678532c0d40decc57d112d7cfa0ab3578db03,True,0.9977909357424617,0.0,0.2,0.8,0.0,0.0,0.563106796,0.0,2.993372807227385,0.9977909357424617,1.5,100.0,0.0,0.9958591954545455,0.0,0.0,0.16,1
0x508d25c7d7e63f0789e120e39e8c064984ff19d5,True,0.022291894220538927,0.0,0.032258065,0.967741935,0.0,0.0,0.366313144,0.0,0.35667030752862283,0.312086519087545,1.066666667,100.0,0.0,0.9958591954545455,0.0,0.0,0.002046035689955357,5
